ID,y
1,78.2575531006
2,91.3518218994
3,78.2686309814
4,77.1965637207
5,109.847724915
8,92.0755767822
10,109.632156372
11,92.4694213867
12,113.242530823
14,94.3434906006
15,115.81993103
16,101.222335815
17,92.9543838501
19,93.6182861328
20,102.522918701
21,92.8628234863
22,113.982727051
23,95.5704498291
26,96.5398788452
28,95.0349731445
29,95.5704498291
33,95.5704498291
35,96.4101867676
41,94.2194976807
42,93.5911026001
43,116.48059082
45,103.309371948
46,102.964691162
51,94.6786193848
53,83.4967041016
55,113.057991028
56,95.0883331299
57,104.109161377
58,95.4032974243
59,102.277389526
63,111.761711121
64,95.0521011353
65,105.204696655
69,95.925994873
71,95.4370346069
72,103.413482666
73,94.6470184326
76,102.315376282
77,106.685890198
78,115.277084351
82,94.763092041
83,105.204696655
84,94.1725616455
85,103.60559845
87,113.031074524
88,94.2194976807
89,114.013710022
91,92.8306808472
93,94.8642425537
94,105.464828491
95,95.0038604736
96,112.334312439
97,93.1148071289
98,112.400520325
99,94.1028060913
101,103.889343262
103,114.013710022
104,94.2125473022
105,111.806404114
110,94.8254013062
111,113.215118408
113,112.400520325
114,93.4526367188
115,113.026885986
117,114.013710022
120,94.533493042
121,112.568077087
122,95.3542709351
123,112.243408203
126,112.945983887
132,111.92628479
135,105.798210144
137,103.538169861
138,94.9944763184
140,94.1576309204
142,112.53137207
144,113.151992798
148,92.8799133301
149,112.628128052
155,93.0372161865
156,112.354125977
157,93.1148071289
162,112.437072754
163,94.8113021851
167,94.1524047852
172,116.48059082
179,113.152336121
180,95.7328491211
181,111.820884705
182,95.0219116211
183,114.013710022
185,114.013710022
187,112.453567505
188,94.6239776611
189,94.1338577271
191,94.4329071045
192,113.542678833
193,94.0556411743
194,112.230232239
195,94.0465545654
196,112.312896729
198,94.9985656738
199,113.08706665
201,105.289375305
204,94.9755325317
205,104.646209717
206,94.5519943237
210,94.5942153931
211,103.889343262
216,113.389564514
219,116.434341431
220,93.4868011475
221,112.18258667
226,111.820884705
227,94.1364440918
228,113.028236389
230,113.014297485
231,93.1148071289
235,116.783218384
236,93.8180847168
238,112.858169556
242,105.40133667
243,92.6634140015
244,80.4295578003
245,113.694122314
247,112.898712158
248,94.1360626221
249,95.3680038452
250,113.089729309
251,93.8180847168
