ID,y
1,76.9283015547
2,92.617864613
3,77.0120426262
4,78.7907028592
5,112.083761907
8,92.3826073504
10,111.79625635
11,93.56228951
12,114.082530157
14,93.7988071503
15,113.636369588
16,103.069896344
17,93.4530780926
19,93.6877755792
20,104.005346403
21,93.4530780926
22,114.592538454
23,95.8130184957
26,94.4767430814
28,93.9917327547
29,95.8130184957
33,95.8130184957
35,94.4767430814
41,93.5715611499
42,93.799987201
43,114.861530668
45,103.637766068
46,103.637766068
51,94.1694917319
53,77.1312376489
55,113.012210281
56,94.4111875291
57,105.729576927
58,94.182761478
59,104.297015172
63,112.344771491
64,94.1694917319
65,103.978076601
69,94.037371226
71,94.1670813225
72,103.793448301
73,94.1694917319
76,104.297015172
77,103.793448301
78,115.141276491
82,94.1694917319
83,103.978076601
84,94.1694917319
85,103.40569344
87,113.012210281
88,93.5715611499
89,113.538050268
91,93.4828389603
93,94.4111875291
94,103.354914875
95,94.4196096988
96,112.755166863
97,93.6939159185
98,112.611044044
99,94.4111875291
101,103.751930718
103,113.538050268
104,94.0646020386
105,112.611044044
110,94.2888327605
111,113.012210281
113,112.611044044
114,93.3233511762
115,113.012210281
117,113.538050268
120,94.4111875291
121,112.752226356
122,93.9187277544
123,112.485953803
126,112.485953803
132,113.130858081
135,103.793448301
137,103.637766068
138,94.0471369633
140,94.4111875291
142,112.755166863
144,113.012210281
148,92.9651378402
149,113.101527191
155,92.7345623593
156,112.752226356
157,93.6939159185
162,112.611044044
163,95.4912450002
167,94.2755630144
172,114.861530668
179,112.344771491
180,93.9187277544
181,112.344771491
182,94.1694917319
183,113.538050268
185,113.538050268
187,112.611044044
188,94.1694917319
189,94.0646020386
191,94.182761478
192,112.798502172
193,94.1694917319
194,112.344771491
195,94.1694917319
196,113.171349366
198,94.4111875291
199,113.012210281
201,103.793448301
204,94.182761478
205,107.659150181
206,94.1694917319
210,94.1694917319
211,103.751930718
216,113.099240059
219,115.823595231
220,94.1320428275
221,112.504327066
226,112.344771491
227,94.1694917319
228,113.012210281
230,113.012210281
231,93.6939159185
235,115.823595231
236,94.2755630144
238,112.95511724
242,103.998237503
243,93.5715611499
244,79.1284793252
245,112.7367936
247,113.156333099
248,94.2960733411
249,94.4021446236
250,112.95511724
251,94.2755630144
253,115.823595231
254,94.1532082458
256,92.8590665577
257,92.8543847761
258,112.485953803
259,94.4111875291
262,77.8889789994
266,92.8387046206
267,113.156333099
272,103.561375672
273,113.538050268
275,93.9187277544
276,113.105649115
279,94.2755630144
280,103.978076601
283,94.0471369633
285,113.012210281
288,113.538050268
289,89.9088167485
290,103.793448301
291,94.1694917319
292,112.871027968
293,112.755166863
296,93.1988469777
297,112.752226356
298,115.282458803
299,94.1694917319
304,93.5715611499
305,77.1312376489
306,94.1623638636
307,112.344771491
311,103.793448301
313,112.344771491
314,94.2755630144
316,94.3051162466
324,95.9478595683
327,97.8952576118
329,93.5715611499
330,112.485953803
337,103.618211445
338,94.3051162466
339,103.690270365
340,94.1694917319
343,94.2960733411
345,115.989129911
346,93.9254732701
347,113.36563304
349,112.958057747
350,93.8031185015
352,112.485953803
353,93.5715611499
354,77.2545904829
357,92.8590665577
358,113.153838319
362,112.813934928
364,113.239682727
365,103.534588133
366,94.1694917319
367,112.611044044
368,94.4716153624
370,77.1312376489
373,94.2888327605
377,94.2755630144
378,112.95511724
382,104.297015172
384,113.012210281
390,94.4021446236
392,112.611044044
393,112.731799512
395,94.1694917319
396,103.978076601
399,77.7214802288
406,112.344771491
408,112.344771491
409,94.0350488064
410,77.5757082729
412,112.752226356
413,93.6939159185
419,94.4021446236
420,112.611044044
421,93.6939159185
430,103.055313068
434,94.1694917319
436,94.182761478
437,94.4111875291
438,93.6939159185
439,112.95511724
440,94.2755630144
443,113.278066344
446,94.182761478
448,92.9814213263
452,94.2755630144
453,103.637766068
457,103.618211445
458,94.1694917319
459,114.912731124
460,104.519159737
462,104.13573093
464,103.793448301
465,115.823595231
467,113.417616436
471,113.274461166
472,77.3808857158
473,94.3192005532
475,94.182761478
480,94.4111875291
488,112.991783436
490,112.344771491
491,104.269339435
492,77.2980141557
493,94.024799037
497,93.9187277544
498,112.592670781
499,94.4021446236
500,103.534588133
501,94.1694917319
502,112.896349175
506,77.2174632899
510,112.611044044
511,93.5715611499
512,93.697047219
516,94.4021446236
518,94.2755630144
519,112.755166863
521,93.5889102429
522,112.896349175
526,112.896349175
529,94.2755630144
532,112.752226356
533,93.9254732701
536,112.821216148
537,103.615431743
539,94.1694917319
540,103.751930718
541,94.182761478
543,94.1869568071
546,113.012210281
547,93.9288662
548,77.8657417925
551,93.4644060444
552,103.637766068
556,103.40569344
557,94.5686437394
558,112.611044044
559,94.2755630144
560,104.269339435
562,104.269339435
566,94.3051162466
570,112.592670781
571,94.4111875291
572,103.978076601
573,94.1694917319
575,115.823595231
576,112.485953803
577,93.1988469777
579,94.0513322925
580,112.752226356
581,113.340158022
589,112.344771491
591,103.40569344
593,94.2755630144
594,103.637766068
595,94.1694917319
598,93.5517772272
602,113.099240059
604,112.752226356
606,112.592670781
608,94.1694917319
609,103.751930718
610,94.1694917319
616,112.964466803
617,94.4021446236
618,103.534588133
620,103.637766068
622,113.358883714
623,93.4457059447
624,86.2612001964
626,113.099240059
628,113.156333099
629,93.9024442684
630,113.012210281
637,94.1694917319
638,103.561375672
643,94.2755630144
645,94.4111875291
646,113.214725552
648,94.1538115764
652,94.3051162466
653,94.4111875291
654,112.592670781
656,112.592670781
657,94.2755630144
659,92.8590665577
660,103.637766068
663,94.1532082458
664,112.611044044
666,103.637766068
668,112.344771491
669,94.155485032
671,94.690998508
675,94.4021446236
677,94.2755630144
678,112.595611288
679,104.009611076
682,95.2669591882
685,103.508871375
687,94.182761478
688,93.9478071062
693,112.504327066
696,98.9088230551
698,94.0743887154
701,94.4625724569
704,103.508871375
705,115.716878253
709,113.047121341
710,92.7597367006
711,105.682132599
712,94.0538783887
714,112.344771491
715,93.8296476667
716,112.344771491
717,94.3287860109
720,115.347150574
721,94.0646020386
724,103.112555245
725,94.0471369633
726,112.488894309
728,112.991783436
731,94.0834316208
734,103.508871375
738,94.104555289
745,112.504327066
746,93.3233511762
751,77.2395205816
754,93.4722312927
756,94.1762331572
758,94.0834316208
759,112.344771491
761,115.347150574
766,94.1532082458
767,112.70721795
768,92.7597367006
769,113.101527191
